JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
"AC|Achats|1|20250101|401000|Fournisseurs|FR001|Grossiste Alpha|AC2025010008|20250101|Achat marchandises réapprovisionnement|0,00|1305,59|||20250101||"
"AC|Achats|1|20250101|445660|TVA déductible sur autres biens et services|||AC2025010008|20250101|Achat marchandises réapprovisionnement|217,60|0,00|||20250101||"
"AC|Achats|1|20250101|607000|Achats de marchandises|||AC2025010008|20250101|Achat marchandises réapprovisionnement|1087,99|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|101000|Capital|||AN2025|20250101|A nouveaux 2025|0,00|100000,00|||20250101||"
"AN|A-Nouveaux|1|20250101|108000|Compte de l'exploitant|||AN2025|20250101|A nouveaux 2025|95076,66|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|110000|Report à nouveau|||AN2025|20250101|A nouveaux 2025|0,00|43970,00|||20250101||"
"AN|A-Nouveaux|1|20250101|129000|Résultat de l'exercice (perte)|||AN2025|20250101|A nouveaux 2025|170852,10|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|164000|Emprunts auprès des établissements de crédit|||AN2025|20250101|A nouveaux 2025|0,00|10000,00|||20250101||"
"AN|A-Nouveaux|1|20250101|207000|Fonds commercial|||AN2025|20250101|A nouveaux 2025|30000,00|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|218300|Matériel de bureau et informatique|||AN2025|20250101|A nouveaux 2025|12000,00|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|281830|Amortissements matériel de bureau|||AN2025|20250101|A nouveaux 2025|0,00|4900,00|||20250101||"
"AN|A-Nouveaux|1|20250101|370000|Stocks de marchandises|||AN2025|20250101|A nouveaux 2025|73750,00|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|401000|Fournisseurs|||AN2025|20250101|A nouveaux 2025|0,00|444646,01|||20250101||"
"AN|A-Nouveaux|1|20250101|411000|Clients|||AN2025|20250101|A nouveaux 2025|445063,46|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|445660|TVA déductible sur autres biens et services|||AN2025|20250101|A nouveaux 2025|434249,12|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|445670|Crédit de TVA à reporter|||AN2025|20250101|A nouveaux 2025|1200,00|0,00|||20250101||"
"AN|A-Nouveaux|1|20250101|445710|TVA collectée|||AN2025|20250101|A nouveaux 2025|0,00|392714,90|||20250101||"
"AN|A-Nouveaux|1|20250101|512000|Banque|||AN2025|20250101|A nouveaux 2025|0,00|265960,43|||20250101||"
"VE|Ventes|2|20250101|411000|Clients|CL009|Union Retail|VE2025010029|20250101|Vente marchandises réassort mensuel|6812,60|0,00|||20250101||"
"VE|Ventes|2|20250101|445710|TVA collectée|||VE2025010029|20250101|Vente marchandises réassort mensuel|0,00|1135,43|||20250101||"
"VE|Ventes|2|20250101|707000|Ventes de marchandises|||VE2025010029|20250101|Vente marchandises réassort mensuel|0,00|5677,17|||20250101||"
"VE|Ventes|3|20250103|411000|Clients|CL010|NegoPlus|VE2025010041|20250103|Vente marchandises lot promotionnel|7366,46|0,00|||20250103||"
"VE|Ventes|3|20250103|445710|TVA collectée|||VE2025010041|20250103|Vente marchandises lot promotionnel|0,00|1227,74|||20250103||"
"VE|Ventes|3|20250103|707000|Ventes de marchandises|||VE2025010041|20250103|Vente marchandises lot promotionnel|0,00|6138,72|||20250103||"
"AC|Achats|4|20250104|401000|Fournisseurs|FR005|Fournitures Gamma|AC2025010015|20250104|Achat marchandises lot grossiste|0,00|1280,63|||20250104||"
"AC|Achats|4|20250104|445660|TVA déductible sur autres biens et services|||AC2025010015|20250104|Achat marchandises lot grossiste|213,44|0,00|||20250104||"
"AC|Achats|4|20250104|607000|Achats de marchandises|||AC2025010015|20250104|Achat marchandises lot grossiste|1067,19|0,00|||20250104||"
"AC|Achats|5|20250104|401000|Fournisseurs|FR006|Packlog|FG202501002|20250104|Frais généraux et fournitures|0,00|1567,24|||20250104||"
"AC|Achats|5|20250104|445660|TVA déductible sur autres biens et services|||FG202501002|20250104|Frais généraux et fournitures|261,21|0,00|||20250104||"
"AC|Achats|5|20250104|606300|Fournitures d'entretien et petit équipement|||FG202501002|20250104|Frais généraux et fournitures|1306,03|0,00|||20250104||"
"VE|Ventes|6|20250104|411000|Clients|CL010|NegoPlus|VE2025010016|20250104|Vente marchandises assortiment saisonnier|9460,87|0,00|||20250104||"
"VE|Ventes|6|20250104|445710|TVA collectée|||VE2025010016|20250104|Vente marchandises assortiment saisonnier|0,00|1576,81|||20250104||"
"VE|Ventes|6|20250104|707000|Ventes de marchandises|||VE2025010016|20250104|Vente marchandises assortiment saisonnier|0,00|7884,06|||20250104||"
"VE|Ventes|7|20250104|411000|Clients|CL011|Centrale Commerce|VE2025010020|20250104|Vente marchandises assortiment saisonnier|1477,20|0,00|||20250104||"
"VE|Ventes|7|20250104|445710|TVA collectée|||VE2025010020|20250104|Vente marchandises assortiment saisonnier|0,00|246,20|||20250104||"
"VE|Ventes|7|20250104|707000|Ventes de marchandises|||VE2025010020|20250104|Vente marchandises assortiment saisonnier|0,00|1231,00|||20250104||"
"VE|Ventes|8|20250104|411000|Clients|CL004|Maison & Stock|VE2025010027|20250104|Vente marchandises assortiment saisonnier|1222,07|0,00|||20250104||"
"VE|Ventes|8|20250104|445710|TVA collectée|||VE2025010027|20250104|Vente marchandises assortiment saisonnier|0,00|203,68|||20250104||"
"VE|Ventes|8|20250104|707000|Ventes de marchandises|||VE2025010027|20250104|Vente marchandises assortiment saisonnier|0,00|1018,39|||20250104||"
"AC|Achats|9|20250105|401000|Fournisseurs|FR001|Grossiste Alpha|AC2025010004|20250105|Achat marchandises import|0,00|3531,05|||20250105||"
"AC|Achats|9|20250105|445660|TVA déductible sur autres biens et services|||AC2025010004|20250105|Achat marchandises import|588,51|0,00|||20250105||"
"AC|Achats|9|20250105|607000|Achats de marchandises|||AC2025010004|20250105|Achat marchandises import|2942,54|0,00|||20250105||"
